"","%IncMSE","IncNodePurity"
"MSSubClass20",0.000135801464958141,0.116302669869234
"MSSubClass30",0.000219756408867367,0.508509695545038
"MSSubClass40",-2.65334450990491e-07,0.00275903077710753
"MSSubClass45",-1.98224799149602e-06,0.00722610193323857
"MSSubClass50",3.66052459886428e-05,0.0757724503033828
"MSSubClass60",0.00054006146632664,0.516597050796164
"MSSubClass70",-9.16577851755321e-07,0.0616944611022027
"MSSubClass75",-1.54896611085162e-06,0.00898979490799469
"MSSubClass80",1.2796573518043e-05,0.044205699560492
"MSSubClass85",5.56498106522092e-07,0.00419682217355806
"MSSubClass90",6.91234881516478e-05,0.0892286259937515
"MSSubClass120",7.8493696432412e-06,0.0206918755257145
"MSSubClass150",0,0
"MSSubClass160",3.77278417183451e-05,0.0397881522631102
"MSSubClass180",1.53526830942398e-06,0.00187825057665666
"MSSubClass190",-2.5224409972811e-06,0.0200351866859364
"MSZoningC (all)",0.000149320277207214,0.773388952483994
"MSZoningFV",1.1597906246185e-05,0.0213716889805681
"MSZoningRH",9.27098682683668e-07,0.012367160825419
"MSZoningRL",0.000488062811343489,0.469913925429874
"MSZoningRM",0.000808904475507345,0.617389099338083
"LotFrontage",0.000943701631903724,1.62117148801197
"LotArea",0.0018772326913154,2.78606275067754
"StreetGrvl",-2.96743714504948e-06,0.035147215332683
"StreetPave",-2.21627599847147e-06,0.0370811991671338
"AlleyGrvl",1.9781677815696e-05,0.0910043010793935
"AlleyPave",3.05353187961064e-05,0.0773482505866524
"AlleyNone",3.59391432872085e-05,0.0975109091928539
"LandContourBnk",3.58399229663418e-06,0.065918800406785
"LandContourHLS",-3.63202825025579e-06,0.0824112865933106
"LandContourLow",7.31258795936761e-06,0.0576328064800831
"LandContourLvl",3.09477956231572e-05,0.154179904086912
"LotConfigCorner",4.52496820527256e-06,0.0785874261636222
"LotConfigCulDSac",9.70881389774555e-06,0.0451472315776789
"LotConfigFR2",5.42507820107891e-06,0.0290377425101429
"LotConfigFR3",-2.81208063708225e-09,0.00204985903498077
"LotConfigInside",1.00226783800025e-05,0.093656920827679
"NeighborhoodBlmngtn",-1.30229493920387e-06,0.00569413961278901
"NeighborhoodBlueste",1.60128641156358e-08,0.000613200979080622
"NeighborhoodBrDale",5.91454462266942e-06,0.00948940300541829
"NeighborhoodBrkSide",4.66707675375167e-06,0.0416690392002505
"NeighborhoodClearCr",7.44246155803582e-06,0.0448957470479829
"NeighborhoodCollgCr",2.46006428891296e-05,0.0542511801462701
"NeighborhoodCrawfor",0.000193178158431895,0.319958711045561
"NeighborhoodEdwards",0.000111711625261463,0.143520147055566
"NeighborhoodGilbert",2.1787169644368e-05,0.0289496687589811
"NeighborhoodIDOTRR",4.72958630211554e-05,0.259016345604163
"NeighborhoodMeadowV",1.2580628180608e-05,0.020600748965066
"NeighborhoodMitchel",3.6815906097451e-06,0.0322952854059821
"NeighborhoodNAmes",0.000135753639567033,0.146906534962962
"NeighborhoodNoRidge",3.50048141999084e-06,0.0296239079216182
"NeighborhoodNPkVill",2.27747682485584e-06,0.00465242590890748
"NeighborhoodNridgHt",2.5538637708332e-05,0.0666649926118489
"NeighborhoodNWAmes",1.36968608514104e-05,0.0398736244897888
"NeighborhoodOldTown",0.000251109079898061,0.314904304406852
"NeighborhoodSawyer",2.29560913504589e-05,0.0617487347377876
"NeighborhoodSawyerW",2.03863568545078e-06,0.0171999951958406
"NeighborhoodSomerst",1.2750066485833e-05,0.0475183886057684
"NeighborhoodStoneBr",-2.52227245335424e-06,0.0332290446201116
"NeighborhoodSWISU",4.40631720150931e-06,0.020250937716026
"NeighborhoodTimber",8.37311803218298e-07,0.0209574093376779
"NeighborhoodVeenker",6.9477982044354e-07,0.0105699350372922
"Condition1Artery",2.15224676052159e-05,0.0882563380196277
"Condition1Feedr",5.47156715828109e-06,0.0573046138809952
"Condition1Norm",3.13601562509643e-05,0.117413541876407
"Condition1PosA",-6.50239688450125e-06,0.0101206900982713
"Condition1PosN",1.83918064157818e-07,0.00766956593240071
"Condition1RRAe",2.62347418949592e-06,0.0146821082526199
"Condition1RRAn",-4.61864526553091e-07,0.0111173054267216
"Condition1RRNe",2.11949083694362e-09,0.000180595785913926
"Condition1RRNn",7.20101786358279e-08,0.00116386196356591
"Condition2Artery",0,0.00449173630758455
"Condition2Feedr",3.46723136704398e-08,0.00487946187063229
"Condition2Norm",-3.78208279814457e-07,0.0124800944086562
"Condition2PosA",0,0.000387122199426024
"Condition2PosN",0,9.03427113229482e-05
"Condition2RRAe",0,0.000203797953279179
"Condition2RRAn",0,0.000381463991036915
"Condition2RRNn",-2.66137921269453e-08,0.00179743521382404
"BldgType1Fam",0.0002895726051003,0.220524512892264
"BldgType2fmCon",-4.48816781377258e-06,0.0209029542441691
"BldgTypeDuplex",6.89675642716015e-05,0.0888035811890707
"BldgTypeTwnhs",7.19078810166219e-06,0.0150830374675363
"BldgTypeTwnhsE",9.74717632176007e-06,0.0265136525745429
"HouseStyle1.5Fin",3.4178999069808e-05,0.0875255265339061
"HouseStyle1.5Unf",-5.15771200798231e-07,0.00706455833945163
"HouseStyle1Story",9.86885691074935e-05,0.0870695106240267
"HouseStyle2.5Fin",-1.76889994362951e-06,0.0067604318048271
"HouseStyle2.5Unf",-9.47130839314927e-07,0.0082824436518935
"HouseStyle2Story",0.000186503988173174,0.129925968424127
"HouseStyleSFoyer",1.71538586253916e-06,0.00668074383863734
"HouseStyleSLvl",1.83034616573561e-05,0.0461565770447094
"OverallQual",0.0272403874261374,46.8040833772987
"OverallCond",0.00245341681515027,2.75600776780379
"YearBuilt",0.0115632666198845,16.8801904323463
"YearRemodAdd",0.00589858910035576,5.34117248313998
"RoofStyleFlat",-8.5062936878872e-06,0.037496711806772
"RoofStyleGable",6.07474516902969e-05,0.144412341495713
"RoofStyleGambrel",-3.30238159449838e-05,0.0908705725399419
"RoofStyleHip",6.84477762438635e-05,0.129160564874108
"RoofStyleMansard",6.06134344834344e-08,0.00146364372410571
"RoofStyleShed",2.08217403562529e-08,0.00113922669370008
"RoofMatlCompShg",-1.01238174809746e-05,0.0371327856647196
"RoofMatlMembran",0,0.00285141341942843
"RoofMatlMetal",0,0.00143677993266774
"RoofMatlRoll",0,0.000232641727688157
"RoofMatlTar&Grv",-7.87717880896739e-06,0.0164972310680866
"RoofMatlWdShake",3.81290613851032e-08,0.001581704905342
"RoofMatlWdShngl",-8.15434041963401e-07,0.0140005382683884
"Exterior1stAsbShng",-7.98498318555938e-06,0.0433339508639161
"Exterior1stAsphShn",0,0.00110989138349901
"Exterior1stBrkComm",8.16726859417722e-06,0.147835083830106
"Exterior1stBrkFace",2.4716265708747e-05,0.106004629673291
"Exterior1stCBlock",0,0.000365429789273398
"Exterior1stCemntBd",1.6903529595815e-05,0.0373618331820704
"Exterior1stHdBoard",2.11126647501433e-05,0.0515743622579918
"Exterior1stImStucc",0,0.000133701885215885
"Exterior1stMetalSd",5.3321984675532e-05,0.0806515676086196
"Exterior1stPlywood",1.35579504861266e-05,0.0527404338886504
"Exterior1stStone",0,0.00116359616334491
"Exterior1stStucco",1.39388968162566e-06,0.019350021624397
"Exterior1stVinylSd",0.000207880940337977,0.146814843973402
"Exterior1stWd Sdng",1.80772750981162e-05,0.0975149276499726
"Exterior1stWdShing",6.30937230297285e-07,0.01121078093447
"Exterior2ndAsbShng",-1.48642352043143e-05,0.0325266555225159
"Exterior2ndAsphShn",-2.62280523873174e-07,0.00270509929464752
"Exterior2ndBrk Cmn",2.6886362043823e-05,0.128974860159003
"Exterior2ndBrkFace",-4.06037384885842e-06,0.0812368136172046
"Exterior2ndCBlock",0,0.000550266219155452
"Exterior2ndCmentBd",1.71827201946459e-05,0.0357265025761355
"Exterior2ndHdBoard",9.03000292365573e-06,0.0515734785462597
"Exterior2ndImStucc",-8.06819598810155e-07,0.00550464413073283
"Exterior2ndMetalSd",3.92016601055308e-05,0.0798490231414937
"Exterior2ndOther",0,0.000524864495051595
"Exterior2ndPlywood",2.12963885151524e-05,0.0667257190985526
"Exterior2ndStone",4.76024935195849e-08,0.00345923015381018
"Exterior2ndStucco",-8.31025650150715e-07,0.0470216644112031
"Exterior2ndVinylSd",0.000177771570958629,0.145505155068829
"Exterior2ndWd Sdng",1.63589561352085e-06,0.0862690959110782
"Exterior2ndWd Shng",9.59279054218093e-07,0.030135101182944
"MasVnrTypeBrkCmn",-8.95697060339407e-06,0.0362404238469744
"MasVnrTypeBrkFace",4.20623758557126e-05,0.0749619572786483
"MasVnrTypeNone",6.18656905917968e-05,0.0857733343161126
"MasVnrTypeStone",4.23081702184414e-05,0.0668240122082578
"MasVnrArea",0.000233256280044811,0.645978308572052
"FoundationBrkTil",7.16748797298154e-05,0.133403640544043
"FoundationCBlock",0.000234619363722701,0.175628046345604
"FoundationPConc",0.00103808958789455,1.46526316469154
"FoundationSlab",1.79864800068788e-06,0.0203564340880061
"FoundationStone",-8.84284020722897e-07,0.00295732073075088
"FoundationWood",-1.20597044612321e-07,0.00136849115926138
"BsmtFinSF1",0.00241782066756285,3.1746481744238
"BsmtFinSF2",1.16677569471953e-05,0.148550423080247
"BsmtUnfSF",0.00138706509851458,1.5462381128679
"TotalBsmtSF",0.00423514251048481,6.67890212203568
"HeatingFloor",0,0.00128231613847688
"HeatingGasA",-4.19221921190658e-06,0.0681025185418834
"HeatingGasW",-5.27523909425423e-06,0.0200346065100909
"HeatingGrav",-1.66511620450213e-05,0.110068766943501
"HeatingOthW",1.59755631571301e-07,0.0034035632965617
"HeatingWall",4.02663512456281e-07,0.00171833157532642
"X1stFlrSF",0.00303277603502968,5.23958880735412
"X2ndFlrSF",0.00182839606715764,1.96531410762078
"LowQualFinSF",-1.65912227225922e-06,0.0326969966846373
"GrLivArea",0.0136158433226902,20.8966108717596
"BsmtFullBath",0.000319247481663047,0.320399708093733
"BsmtHalfBath",1.40103741459079e-05,0.0612272385349719
"FullBath",0.00191585781250986,5.82919331125214
"HalfBath",0.000351195036448352,0.335790455269701
"BedroomAbvGr",0.000384678908472836,0.482570535732623
"KitchenAbvGr",0.000531635575450978,0.667359067259261
"TotRmsAbvGrd",0.000502565785986174,1.02184937016951
"Fireplaces",0.00175323198004075,2.50273883313915
"GarageType2Types",1.11516256481572e-06,0.0178868921740638
"GarageTypeAttchd",0.000556843246144772,0.728745931718542
"GarageTypeBasment",6.83976201594147e-09,0.0269650855594879
"GarageTypeBuiltIn",1.45993553456251e-05,0.0381010375728257
"GarageTypeCarPort",8.29971310775776e-06,0.0393067278002988
"GarageTypeDetchd",0.000639019033098072,0.4490884731162
"GarageTypeNone",2.15293653931498e-05,0.19105087989438
"GarageYrBlt1895",0,0
"GarageYrBlt1896",0,0
"GarageYrBlt1900",0,0.00191178542811637
"GarageYrBlt1906",0,0.000133927438269804
"GarageYrBlt1908",0,0.00090035167860413
"GarageYrBlt1910",-2.50675963426659e-07,0.00155092825111901
"GarageYrBlt1914",0,0.000652175689048843
"GarageYrBlt1915",-1.79775832039952e-07,0.00124289441610211
"GarageYrBlt1916",-3.2180392270391e-07,0.00226349857759402
"GarageYrBlt1917",0,0
"GarageYrBlt1918",3.0659621114037e-07,0.00189788521254315
"GarageYrBlt1919",0,0
"GarageYrBlt1920",-1.33590507255949e-05,0.161598821439885
"GarageYrBlt1921",4.09495794381063e-07,0.0118875295101272
"GarageYrBlt1922",-1.27966469925345e-06,0.00434748855515794
"GarageYrBlt1923",2.5211942518287e-08,0.00374483935618983
"GarageYrBlt1924",2.72927396399286e-08,0.0010535009424937
"GarageYrBlt1925",-3.77446411190978e-07,0.0202837988771294
"GarageYrBlt1926",-7.9525506563947e-08,0.00249780569278833
"GarageYrBlt1927",0,6.20304324795937e-05
"GarageYrBlt1928",-1.38180632930983e-06,0.0254931382251255
"GarageYrBlt1929",0,0.00136798888742562
"GarageYrBlt1930",-1.03812881601675e-06,0.00890767918478666
"GarageYrBlt1931",-1.63682282028317e-06,0.0116331895454751
"GarageYrBlt1932",-6.38967942778798e-08,0.0036810986548138
"GarageYrBlt1933",0,5.99312874934065e-05
"GarageYrBlt1934",-1.73589635474121e-08,0.00174474054933127
"GarageYrBlt1935",-1.11528678122467e-09,0.00394833622543814
"GarageYrBlt1936",-3.4471143106566e-07,0.00430837538373082
"GarageYrBlt1937",0,0.000556885741219417
"GarageYrBlt1938",-1.28764290272243e-06,0.00691746005796676
"GarageYrBlt1939",2.3642998763422e-06,0.0232347867623835
"GarageYrBlt1940",-3.80461993426065e-06,0.0176338188071941
