"MSSubClass20","MSSubClass30","MSSubClass40","MSSubClass45","MSSubClass50","MSSubClass60","MSSubClass70","MSSubClass75","MSSubClass80","MSSubClass85","MSSubClass90","MSSubClass120","MSSubClass150","MSSubClass160","MSSubClass180","MSSubClass190","MSZoningC (all)","MSZoningFV","MSZoningRH","MSZoningRL","MSZoningRM","LotFrontage","LotArea","StreetGrvl","StreetPave","AlleyGrvl","AlleyPave","AlleyNone","LotShapeReg","LotShapeIR1","LotShapeIR2","LotShapeIR3","LandContourBnk","LandContourHLS","LandContourLow","LandContourLvl","UtilitiesAllPub","UtilitiesNoSeWa","LotConfigCorner","LotConfigCulDSac","LotConfigFR2","LotConfigFR3","LotConfigInside","LandSlopeGtl","LandSlopeMod","LandSlopeSev","NeighborhoodBlmngtn","NeighborhoodBlueste","NeighborhoodBrDale","NeighborhoodBrkSide","NeighborhoodClearCr","NeighborhoodCollgCr","NeighborhoodCrawfor","NeighborhoodEdwards","NeighborhoodGilbert","NeighborhoodIDOTRR","NeighborhoodMeadowV","NeighborhoodMitchel","NeighborhoodNAmes","NeighborhoodNoRidge","NeighborhoodNPkVill","NeighborhoodNridgHt","NeighborhoodNWAmes","NeighborhoodOldTown","NeighborhoodSawyer","NeighborhoodSawyerW","NeighborhoodSomerst","NeighborhoodStoneBr","NeighborhoodSWISU","NeighborhoodTimber","NeighborhoodVeenker","Condition1Artery","Condition1Feedr","Condition1Norm","Condition1PosA","Condition1PosN","Condition1RRAe","Condition1RRAn","Condition1RRNe","Condition1RRNn","Condition2Artery","Condition2Feedr","Condition2Norm","Condition2PosA","Condition2PosN","Condition2RRAe","Condition2RRAn","Condition2RRNn","BldgType1Fam","BldgType2fmCon","BldgTypeDuplex","BldgTypeTwnhs","BldgTypeTwnhsE","HouseStyle1.5Fin","HouseStyle1.5Unf","HouseStyle1Story","HouseStyle2.5Fin","HouseStyle2.5Unf","HouseStyle2Story","HouseStyleSFoyer","HouseStyleSLvl","OverallQual1","OverallQual2","OverallQual3","OverallQual4","OverallQual5","OverallQual6","OverallQual7","OverallQual8","OverallQual9","OverallQual10","OverallCond1","OverallCond2","OverallCond3","OverallCond4","OverallCond5","OverallCond6","OverallCond7","OverallCond8","OverallCond9","YearBuilt","YearRemodAdd","RoofStyleFlat","RoofStyleGable","RoofStyleGambrel","RoofStyleHip","RoofStyleMansard","RoofStyleShed","RoofMatlCompShg","RoofMatlMembran","RoofMatlMetal","RoofMatlRoll","RoofMatlTar&Grv","RoofMatlWdShake","RoofMatlWdShngl","Exterior1stAsbShng","Exterior1stAsphShn","Exterior1stBrkComm","Exterior1stBrkFace","Exterior1stCBlock","Exterior1stCemntBd","Exterior1stHdBoard","Exterior1stImStucc","Exterior1stMetalSd","Exterior1stPlywood","Exterior1stStone","Exterior1stStucco","Exterior1stVinylSd","Exterior1stWd Sdng","Exterior1stWdShing","Exterior2ndAsbShng","Exterior2ndAsphShn","Exterior2ndBrk Cmn","Exterior2ndBrkFace","Exterior2ndCBlock","Exterior2ndCmentBd","Exterior2ndHdBoard","Exterior2ndImStucc","Exterior2ndMetalSd","Exterior2ndOther","Exterior2ndPlywood","Exterior2ndStone","Exterior2ndStucco","Exterior2ndVinylSd","Exterior2ndWd Sdng","Exterior2ndWd Shng","MasVnrTypeBrkCmn","MasVnrTypeBrkFace","MasVnrTypeNone","MasVnrTypeStone","MasVnrArea","ExterQualFa","ExterQualTA","ExterQualGd","ExterQualEx","ExterCondPo","ExterCondFa","ExterCondTA","ExterCondGd","ExterCondEx","FoundationBrkTil","FoundationCBlock","FoundationPConc","FoundationSlab","FoundationStone","FoundationWood","BsmtQualNone","BsmtQualFa","BsmtQualTA","BsmtQualGd","BsmtQualEx","BsmtCondNone","BsmtCondPo","BsmtCondFa","BsmtCondTA","BsmtCondGd","BsmtExposureNone","BsmtExposureNo","BsmtExposureMn","BsmtExposureAv","BsmtExposureGd","BsmtFinType1None","BsmtFinType1Unf","BsmtFinType1LwQ","BsmtFinType1Rec","BsmtFinType1BLQ","BsmtFinType1ALQ","BsmtFinType1GLQ","BsmtFinSF1","BsmtFinType2None","BsmtFinType2Unf","BsmtFinType2LwQ","BsmtFinType2Rec","BsmtFinType2BLQ","BsmtFinType2ALQ","BsmtFinType2GLQ","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","HeatingFloor","HeatingGasA","HeatingGasW","HeatingGrav","HeatingOthW","HeatingWall","HeatingQCPo","HeatingQCFa","HeatingQCTA","HeatingQCGd","HeatingQCEx","CentralAirN","CentralAirY","ElectricalMix","ElectricalFuseP","ElectricalFuseF","ElectricalFuseA","ElectricalSBrkr","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQualFa","KitchenQualTA","KitchenQualGd","KitchenQualEx","TotRmsAbvGrd","FunctionalSev","FunctionalMaj2","FunctionalMaj1","FunctionalMod","FunctionalMin2","FunctionalMin1","FunctionalTyp","Fireplaces","FireplaceQuNone","FireplaceQuPo","FireplaceQuFa","FireplaceQuTA","FireplaceQuGd","FireplaceQuEx","GarageType2Types","GarageTypeAttchd","GarageTypeBasment","GarageTypeBuiltIn","GarageTypeCarPort","GarageTypeDetchd","GarageTypeNone","GarageYrBlt1895","GarageYrBlt1896","GarageYrBlt1900","GarageYrBlt1906","GarageYrBlt1908","GarageYrBlt1910","GarageYrBlt1914","GarageYrBlt1915","GarageYrBlt1916","GarageYrBlt1917","GarageYrBlt1918","GarageYrBlt1919","GarageYrBlt1920","GarageYrBlt1921","GarageYrBlt1922","GarageYrBlt1923","GarageYrBlt1924","GarageYrBlt1925","GarageYrBlt1926","GarageYrBlt1927","GarageYrBlt1928","GarageYrBlt1929","GarageYrBlt1930","GarageYrBlt1931","GarageYrBlt1932","GarageYrBlt1933","GarageYrBlt1934","GarageYrBlt1935","GarageYrBlt1936","GarageYrBlt1937","GarageYrBlt1938","GarageYrBlt1939","GarageYrBlt1940","GarageYrBlt1941","GarageYrBlt1942","GarageYrBlt1943","GarageYrBlt1945","GarageYrBlt1946","GarageYrBlt1947","GarageYrBlt1948","GarageYrBlt1949","GarageYrBlt1950","GarageYrBlt1951","GarageYrBlt1952","GarageYrBlt1953","GarageYrBlt1954","GarageYrBlt1955","GarageYrBlt1956","GarageYrBlt1957","GarageYrBlt1958","GarageYrBlt1959","GarageYrBlt1960","GarageYrBlt1961","GarageYrBlt1962","GarageYrBlt1963","GarageYrBlt1964","GarageYrBlt1965","GarageYrBlt1966","GarageYrBlt1967","GarageYrBlt1968","GarageYrBlt1969","GarageYrBlt1970","GarageYrBlt1971","GarageYrBlt1972","GarageYrBlt1973","GarageYrBlt1974","GarageYrBlt1975","GarageYrBlt1976","GarageYrBlt1977","GarageYrBlt1978","GarageYrBlt1979","GarageYrBlt1980","GarageYrBlt1981","GarageYrBlt1982","GarageYrBlt1983","GarageYrBlt1984","GarageYrBlt1985","GarageYrBlt1986","GarageYrBlt1987","GarageYrBlt1988","GarageYrBlt1989","GarageYrBlt1990","GarageYrBlt1991","GarageYrBlt1992","GarageYrBlt1993","GarageYrBlt1994","GarageYrBlt1995","GarageYrBlt1996","GarageYrBlt1997","GarageYrBlt1998","GarageYrBlt1999","GarageYrBlt2000","GarageYrBlt2001","GarageYrBlt2002","GarageYrBlt2003","GarageYrBlt2004","GarageYrBlt2005","GarageYrBlt2006","GarageYrBlt2007","GarageYrBlt2008","GarageYrBlt2009","GarageYrBlt2010","GarageYrBltNone","GarageFinishNone","GarageFinishUnf","GarageFinishRFn","GarageFinishFin","GarageCars","GarageArea","GarageQualNone","GarageQualPo","GarageQualFa","GarageQualTA","GarageQualGd","GarageQualEx","GarageCondNone","GarageCondPo","GarageCondFa","GarageCondTA","GarageCondGd","GarageCondEx","PavedDriveN","PavedDriveP","PavedDriveY","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQCNone","PoolQCFa","PoolQCGd","PoolQCEx","FenceNone","FenceMnWw","FenceGdWo","FenceMnPrv","FenceGdPrv","MiscFeatureGar2","MiscFeatureOthr","MiscFeatureShed","MiscFeatureTenC","MiscFeatureNone","MiscVal","MoSold1","MoSold2","MoSold3","MoSold4","MoSold5","MoSold6","MoSold7","MoSold8","MoSold9","MoSold10","MoSold11","MoSold12","YrSold2006","YrSold2007","YrSold2008","YrSold2009","YrSold2010","SaleTypeCOD","SaleTypeCon","SaleTypeConLD","SaleTypeConLI","SaleTypeConLw","SaleTypeCWD","SaleTypeNew","SaleTypeOth","SaleTypeWD","SaleConditionAbnorml","SaleConditionAdjLand","SaleConditionAlloca","SaleConditionFamily","SaleConditionNormal","SaleConditionPartial","TotalSF","TotalSFMisc"
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.18965474202643,9.04204005654448,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2003,2003,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,196,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,706,0,1,0,0,0,0,0,0,150,856,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,856,854,0,7.44483327389219,1,0,2,1,3,1,0,0,1,0,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,548,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,61,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3114,61
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.39444915467244,9.16962253869762,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1976,1976,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,978,0,1,0,0,0,0,0,0,284,1262,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1262,0,0,7.14124512235049,0,1,2,0,3,1,0,1,0,0,6,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,460,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,298,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2984,298
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.23410650459726,9.32821229257107,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2001,2002,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,162,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,486,0,1,0,0,0,0,0,0,434,920,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,920,866,0,7.48829351515943,1,0,2,1,3,1,0,0,1,0,6,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,608,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,42,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3314,42
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.11087386417331,9.16440114003474,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1915,1970,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,216,0,1,0,0,0,0,0,0,540,756,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,961,756,0,7.4489161025442,1,0,1,0,3,1,0,0,1,0,7,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,642,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,35,272,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3115,307
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.44265125649032,9.56528381773677,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2000,2000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,350,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,655,0,1,0,0,0,0,0,0,490,1145,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1145,1053,0,7.69575799055476,1,0,2,1,4,1,0,0,1,0,9,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,836,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,192,84,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4179,276
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.45434729625351,9.55506418479516,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1993,1995,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,732,0,1,0,0,0,0,0,0,64,796,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,796,566,0,7.21744343169653,1,0,1,1,1,1,0,1,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,480,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,40,30,0,320,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,700,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2638,390
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.33073334028633,9.21880445038831,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2004,2005,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,186,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1369,0,1,0,0,0,0,0,0,317,1686,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1694,0,0,7.43543801981455,1,0,2,0,3,1,0,0,1,0,7,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,636,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,255,57,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4016,312
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.29631512673202,9.24792513230345,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1973,1973,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,240,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,859,0,0,0,0,1,0,0,32,216,1107,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1107,983,0,7.64539769942863,1,0,2,1,3,1,0,1,0,0,7,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,484,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,235,204,228,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,350,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3681,667
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.95124371858143,8.71948076085107,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1931,1950,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,952,952,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1022,752,0,7.48155570190952,0,0,2,0,2,2,0,1,0,0,8,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,468,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,90,0,205,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3194,295
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3.93182563272433,8.91206909797013,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1939,1950,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,851,0,1,0,0,0,0,0,0,140,991,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1077,0,0,6.98286275146894,1,0,1,0,2,2,0,1,0,0,5,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,205,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2273,4
