"","Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
"1",1,"60","RL",65,8450,"Pave","None",0,"Lvl",3,"Inside",0,"CollgCr","Norm","Norm","1Fam","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",196,3,2,"PConc",4,3,1,6,706,1,0,150,856,"GasA",5,1,4,856,854,0,1710,1,0,2,1,3,1,4,8,7,0,0,"Attchd",2003,2,2,548,3,3,2,0,61,0,0,0,0,0,0,"None",0,2,2008,"WD","Normal",12.247694320221
"2",2,"20","RL",80,9600,"Pave","None",0,"Lvl",3,"FR2",0,"Veenker","Feedr","Norm","1Fam","1Story",6,8,1976,1976,"Gable","CompShg","MetalSd","MetalSd","None",0,2,2,"CBlock",4,3,4,5,978,1,0,284,1262,"GasA",5,1,4,1262,0,0,1262,0,1,2,0,3,1,3,6,7,1,3,"Attchd",1976,2,2,460,3,3,2,298,0,0,0,0,0,0,0,"None",0,5,2007,"WD","Normal",12.109010932687
"3",3,"60","RL",68,11250,"Pave","None",1,"Lvl",3,"Inside",0,"CollgCr","Norm","Norm","1Fam","2Story",7,5,2001,2002,"Gable","CompShg","VinylSd","VinylSd","BrkFace",162,3,2,"PConc",4,3,2,6,486,1,0,434,920,"GasA",5,1,4,920,866,0,1786,1,0,2,1,3,1,4,6,7,1,3,"Attchd",2001,2,2,608,3,3,2,0,42,0,0,0,0,0,0,"None",0,9,2008,"WD","Normal",12.3171666930358
"4",4,"70","RL",60,9550,"Pave","None",1,"Lvl",3,"Corner",0,"Crawfor","Norm","Norm","1Fam","2Story",7,5,1915,1970,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,2,2,"BrkTil",3,4,1,5,216,1,0,540,756,"GasA",4,1,4,961,756,0,1717,1,0,1,0,3,1,4,7,7,1,4,"Detchd",1998,1,3,642,3,3,2,0,35,272,0,0,0,0,0,"None",0,2,2006,"WD","Abnorml",11.8493977015914
"5",5,"60","RL",84,14260,"Pave","None",1,"Lvl",3,"FR2",0,"NoRidge","Norm","Norm","1Fam","2Story",8,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","BrkFace",350,3,2,"PConc",4,3,3,6,655,1,0,490,1145,"GasA",5,1,4,1145,1053,0,2198,1,0,2,1,4,1,4,9,7,1,3,"Attchd",2000,2,3,836,3,3,2,192,84,0,0,0,0,0,0,"None",0,12,2008,"WD","Normal",12.4292161968444
"6",6,"50","RL",85,14115,"Pave","None",1,"Lvl",3,"Inside",0,"Mitchel","Norm","Norm","1Fam","1.5Fin",5,5,1993,1995,"Gable","CompShg","VinylSd","VinylSd","None",0,2,2,"Wood",4,3,1,6,732,1,0,64,796,"GasA",5,1,4,796,566,0,1362,1,0,1,1,1,1,3,5,7,0,0,"Attchd",1993,1,2,480,3,3,2,40,30,0,320,0,0,0,3,"Shed",700,10,2009,"WD","Normal",11.870599909242
"7",7,"20","RL",75,10084,"Pave","None",0,"Lvl",3,"Inside",0,"Somerst","Norm","Norm","1Fam","1Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","Stone",186,3,2,"PConc",5,3,3,6,1369,1,0,317,1686,"GasA",5,1,4,1694,0,0,1694,1,0,2,0,3,1,4,7,7,1,4,"Attchd",2004,2,2,636,3,3,2,255,57,0,0,0,0,0,0,"None",0,8,2007,"WD","Normal",12.6346030265693
"8",8,"60","RL",0,10382,"Pave","None",1,"Lvl",3,"Corner",0,"NWAmes","PosN","Norm","1Fam","2Story",7,6,1973,1973,"Gable","CompShg","HdBoard","HdBoard","Stone",240,2,2,"CBlock",4,3,2,5,859,4,32,216,1107,"GasA",5,1,4,1107,983,0,2090,1,0,2,1,3,1,3,7,7,2,3,"Attchd",1973,2,2,484,3,3,2,235,204,228,0,0,0,0,0,"Shed",350,11,2009,"WD","Normal",12.2060726455302
"9",9,"50","RM",51,6120,"Pave","None",0,"Lvl",3,"Inside",0,"OldTown","Artery","Norm","1Fam","1.5Fin",7,5,1931,1950,"Gable","CompShg","BrkFace","Wd Shng","None",0,2,2,"BrkTil",3,3,1,1,0,1,0,952,952,"GasA",4,1,2,1022,752,0,1774,0,0,2,0,2,2,3,8,6,2,3,"Detchd",1931,1,2,468,2,3,2,90,0,205,0,0,0,0,0,"None",0,4,2008,"WD","Abnorml",11.7745202026587
"10",10,"190","RL",50,7420,"Pave","None",0,"Lvl",3,"Corner",0,"BrkSide","Artery","Artery","2fmCon","1.5Unf",5,6,1939,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,2,2,"BrkTil",3,3,1,6,851,1,0,140,991,"GasA",5,1,4,1077,0,0,1077,1,0,1,0,2,2,3,5,7,2,3,"Attchd",1939,2,1,205,4,3,2,0,4,0,0,0,0,0,0,"None",0,1,2008,"WD","Normal",11.6784399034478
"11",11,"20","RL",70,11200,"Pave","None",0,"Lvl",3,"Inside",0,"Sawyer","Norm","Norm","1Fam","1Story",5,5,1965,1965,"Hip","CompShg","HdBoard","HdBoard","None",0,2,2,"CBlock",3,3,1,3,906,1,0,134,1040,"GasA",5,1,4,1040,0,0,1040,1,0,1,0,3,1,3,5,7,0,0,"Detchd",1965,1,1,384,3,3,2,0,0,0,0,0,0,0,0,"None",0,2,2008,"WD","Normal",11.7714361601217
"12",12,"60","RL",85,11924,"Pave","None",1,"Lvl",3,"Inside",0,"NridgHt","Norm","Norm","1Fam","2Story",9,5,2005,2006,"Hip","CompShg","WdShing","Wd Shng","Stone",286,4,2,"PConc",5,3,1,6,998,1,0,177,1175,"GasA",5,1,4,1182,1142,0,2324,1,0,3,0,4,1,5,11,7,2,4,"BuiltIn",2005,3,3,736,3,3,2,147,21,0,0,0,0,0,0,"None",0,7,2006,"New","Partial",12.7512996960135
"13",13,"20","RL",0,12968,"Pave","None",2,"Lvl",3,"Inside",0,"Sawyer","Norm","Norm","1Fam","1Story",5,6,1962,1962,"Hip","CompShg","HdBoard","Plywood","None",0,2,2,"CBlock",3,3,1,5,737,1,0,175,912,"GasA",3,1,4,912,0,0,912,1,0,1,0,2,1,3,4,7,0,0,"Detchd",1962,1,1,352,3,3,2,140,0,0,0,176,0,0,0,"None",0,9,2008,"WD","Normal",11.8775685785581
"14",14,"20","RL",91,10652,"Pave","None",1,"Lvl",3,"Inside",0,"CollgCr","Norm","Norm","1Fam","1Story",7,5,2006,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",306,3,2,"PConc",4,3,3,1,0,1,0,1494,1494,"GasA",5,1,4,1494,0,0,1494,0,0,2,0,3,1,4,7,7,1,4,"Attchd",2006,2,3,840,3,3,2,160,33,0,0,0,0,0,0,"None",0,8,2007,"New","Partial",12.5407575715773
"15",15,"20","RL",0,10920,"Pave","None",1,"Lvl",3,"Corner",0,"NAmes","Norm","Norm","1Fam","1Story",6,5,1960,1960,"Hip","CompShg","MetalSd","MetalSd","BrkFace",212,2,2,"CBlock",3,3,1,4,733,1,0,520,1253,"GasA",3,1,4,1253,0,0,1253,1,0,1,1,2,1,3,5,7,1,2,"Attchd",1960,2,1,352,3,3,2,0,213,176,0,0,0,0,2,"None",0,5,2008,"WD","Normal",11.9640010843304
"16",16,"45","RM",51,6120,"Pave","None",0,"Lvl",3,"Corner",0,"BrkSide","Norm","Norm","1Fam","1.5Unf",7,8,1929,2001,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,2,2,"BrkTil",3,3,1,1,0,1,0,832,832,"GasA",5,1,3,854,0,0,854,0,0,1,0,2,1,3,5,7,0,0,"Detchd",1991,1,2,576,3,3,2,48,112,0,0,0,0,0,4,"None",0,7,2007,"WD","Normal",11.7905572015685
"17",17,"20","RL",0,11241,"Pave","None",1,"Lvl",3,"CulDSac",0,"NAmes","Norm","Norm","1Fam","1Story",6,7,1970,1970,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",180,2,2,"CBlock",3,3,1,5,578,1,0,426,1004,"GasA",5,1,4,1004,0,0,1004,1,0,1,0,2,1,3,5,7,1,3,"Attchd",1970,3,2,480,3,3,2,0,0,0,0,0,0,0,0,"Shed",700,3,2010,"WD","Normal",11.9117015849276
"18",18,"90","RL",72,10791,"Pave","None",0,"Lvl",3,"Inside",0,"Sawyer","Norm","Norm","Duplex","1Story",4,5,1967,1967,"Gable","CompShg","MetalSd","MetalSd","None",0,2,2,"Slab",0,0,0,0,0,0,0,0,0,"GasA",3,1,4,1296,0,0,1296,0,0,2,0,2,2,3,6,7,0,0,"CarPort",1967,1,2,516,3,3,2,0,0,0,0,0,0,0,0,"Shed",500,10,2006,"WD","Normal",11.4075649493124
"19",19,"20","RL",66,13695,"Pave","None",0,"Lvl",3,"Inside",0,"SawyerW","RRAe","Norm","1Fam","1Story",5,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,2,2,"PConc",3,3,1,6,646,1,0,468,1114,"GasA",5,1,4,1114,0,0,1114,1,0,1,1,3,1,4,6,7,0,0,"Detchd",2004,1,2,576,3,3,2,0,102,0,0,0,0,0,0,"None",0,6,2008,"WD","Normal",11.9766594812024
"20",20,"20","RL",70,7560,"Pave","None",0,"Lvl",3,"Inside",0,"NAmes","Norm","Norm","1Fam","1Story",5,6,1958,1965,"Hip","CompShg","BrkFace","Plywood","None",0,2,2,"CBlock",3,3,1,2,504,1,0,525,1029,"GasA",3,1,4,1339,0,0,1339,0,0,1,0,3,1,3,6,6,0,0,"Attchd",1958,1,1,294,3,3,2,0,0,0,0,0,0,0,3,"None",0,5,2009,"COD","Abnorml",11.8422292121128
"21",21,"60","RL",101,14215,"Pave","None",1,"Lvl",3,"Corner",0,"NridgHt","Norm","Norm","1Fam","2Story",8,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",380,3,2,"PConc",5,3,3,1,0,1,0,1158,1158,"GasA",5,1,4,1158,1218,0,2376,0,0,3,1,4,1,4,9,7,1,4,"BuiltIn",2005,2,3,853,3,3,2,240,154,0,0,0,0,0,0,"None",0,11,2006,"New","Partial",12.6925031124614
"22",22,"45","RM",57,7449,"Pave","Grvl",0,"Bnk",3,"Inside",0,"IDOTRR","Norm","Norm","1Fam","1.5Unf",7,7,1930,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,2,2,"PConc",3,3,1,1,0,1,0,637,637,"GasA",5,1,2,1108,0,0,1108,0,0,1,0,3,1,4,6,7,1,4,"Attchd",1930,1,1,280,3,3,0,0,0,205,0,0,0,0,4,"None",0,6,2007,"WD","Normal",11.8451027773086
"23",23,"20","RL",75,9742,"Pave","None",0,"Lvl",3,"Inside",0,"CollgCr","Norm","Norm","1Fam","1Story",8,5,2002,2002,"Hip","CompShg","VinylSd","VinylSd","BrkFace",281,3,2,"PConc",4,3,1,1,0,1,0,1777,1777,"GasA",5,1,4,1795,0,0,1795,0,0,2,0,3,1,4,7,7,1,4,"Attchd",2002,2,2,534,3,3,2,171,159,0,0,0,0,0,0,"None",0,9,2008,"WD","Normal",12.3458345879053
