"MSSubClass20","MSSubClass30","MSSubClass40","MSSubClass45","MSSubClass50","MSSubClass60","MSSubClass70","MSSubClass75","MSSubClass80","MSSubClass85","MSSubClass90","MSSubClass120","MSSubClass160","MSSubClass180","MSSubClass190","MSZoningC (all)","MSZoningFV","MSZoningRH","MSZoningRL","MSZoningRM","LotFrontage","LotArea","StreetGrvl","StreetPave","AlleyGrvl","AlleyPave","AlleyNone","LotShape","LandContourBnk","LandContourHLS","LandContourLow","LandContourLvl","Utilities","LotConfigCorner","LotConfigCulDSac","LotConfigFR2","LotConfigFR3","LotConfigInside","LandSlope","NeighborhoodBlmngtn","NeighborhoodBlueste","NeighborhoodBrDale","NeighborhoodBrkSide","NeighborhoodClearCr","NeighborhoodCollgCr","NeighborhoodCrawfor","NeighborhoodEdwards","NeighborhoodGilbert","NeighborhoodIDOTRR","NeighborhoodMeadowV","NeighborhoodMitchel","NeighborhoodNAmes","NeighborhoodNoRidge","NeighborhoodNPkVill","NeighborhoodNridgHt","NeighborhoodNWAmes","NeighborhoodOldTown","NeighborhoodSawyer","NeighborhoodSawyerW","NeighborhoodSomerst","NeighborhoodStoneBr","NeighborhoodSWISU","NeighborhoodTimber","NeighborhoodVeenker","Condition1Artery","Condition1Feedr","Condition1Norm","Condition1PosA","Condition1PosN","Condition1RRAe","Condition1RRAn","Condition1RRNe","Condition1RRNn","Condition2Artery","Condition2Feedr","Condition2Norm","Condition2PosA","Condition2PosN","Condition2RRAe","Condition2RRAn","Condition2RRNn","BldgType1Fam","BldgType2fmCon","BldgTypeDuplex","BldgTypeTwnhs","BldgTypeTwnhsE","HouseStyle1.5Fin","HouseStyle1.5Unf","HouseStyle1Story","HouseStyle2.5Fin","HouseStyle2.5Unf","HouseStyle2Story","HouseStyleSFoyer","HouseStyleSLvl","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyleFlat","RoofStyleGable","RoofStyleGambrel","RoofStyleHip","RoofStyleMansard","RoofStyleShed","RoofMatlClyTile","RoofMatlCompShg","RoofMatlMembran","RoofMatlMetal","RoofMatlRoll","RoofMatlTar&Grv","RoofMatlWdShake","RoofMatlWdShngl","Exterior1stAsbShng","Exterior1stAsphShn","Exterior1stBrkComm","Exterior1stBrkFace","Exterior1stCBlock","Exterior1stCemntBd","Exterior1stHdBoard","Exterior1stImStucc","Exterior1stMetalSd","Exterior1stPlywood","Exterior1stStone","Exterior1stStucco","Exterior1stVinylSd","Exterior1stWd Sdng","Exterior1stWdShing","Exterior2ndAsbShng","Exterior2ndAsphShn","Exterior2ndBrk Cmn","Exterior2ndBrkFace","Exterior2ndCBlock","Exterior2ndCmentBd","Exterior2ndHdBoard","Exterior2ndImStucc","Exterior2ndMetalSd","Exterior2ndOther","Exterior2ndPlywood","Exterior2ndStone","Exterior2ndStucco","Exterior2ndVinylSd","Exterior2ndWd Sdng","Exterior2ndWd Shng","MasVnrTypeBrkCmn","MasVnrTypeBrkFace","MasVnrTypeNone","MasVnrTypeStone","MasVnrArea","ExterQual","ExterCond","FoundationBrkTil","FoundationCBlock","FoundationPConc","FoundationSlab","FoundationStone","FoundationWood","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","HeatingFloor","HeatingGasA","HeatingGasW","HeatingGrav","HeatingOthW","HeatingWall","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType2Types","GarageTypeAttchd","GarageTypeBasment","GarageTypeBuiltIn","GarageTypeCarPort","GarageTypeDetchd","GarageTypeNone","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeatureGar2","MiscFeatureOthr","MiscFeatureShed","MiscFeatureTenC","MiscFeatureNone","MiscVal","MoSold","YrSold","SaleTypeCOD","SaleTypeCon","SaleTypeConLD","SaleTypeConLI","SaleTypeConLw","SaleTypeCWD","SaleTypeNew","SaleTypeOth","SaleTypeWD","SaleConditionAbnorml","SaleConditionAdjLand","SaleConditionAlloca","SaleConditionFamily","SaleConditionNormal","SaleConditionPartial","SalePrice"
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,65,8450,0,1,0,0,1,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,5,2003,2003,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,196,3,2,0,0,1,0,0,0,4,3,1,6,706,1,0,150,856,0,1,0,0,0,0,5,1,4,856,854,0,1710,1,0,2,1,3,1,4,8,7,0,0,0,1,0,0,0,0,0,2003,2,2,548,3,3,2,0,61,0,0,0,0,0,0,0,0,0,0,1,0,2,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12.247694320221
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,80,9600,0,1,0,0,1,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,8,1976,1976,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,1,0,0,0,0,4,3,4,5,978,1,0,284,1262,0,1,0,0,0,0,5,1,4,1262,0,0,1262,0,1,2,0,3,1,3,6,7,1,3,0,1,0,0,0,0,0,1976,2,2,460,3,3,2,298,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12.109010932687
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,68,11250,0,1,0,0,1,1,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,5,2001,2002,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,162,3,2,0,0,1,0,0,0,4,3,2,6,486,1,0,434,920,0,1,0,0,0,0,5,1,4,920,866,0,1786,1,0,2,1,3,1,4,6,7,1,3,0,1,0,0,0,0,0,2001,2,2,608,3,3,2,0,42,0,0,0,0,0,0,0,0,0,0,1,0,9,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12.3171666930358
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,60,9550,0,1,0,0,1,1,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,5,1915,1970,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,1,0,0,0,0,0,3,4,1,5,216,1,0,540,756,0,1,0,0,0,0,4,1,4,961,756,0,1717,1,0,1,0,3,1,4,7,7,1,4,0,0,0,0,0,1,0,1998,1,3,642,3,3,2,0,35,272,0,0,0,0,0,0,0,0,0,1,0,2,2006,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11.8493977015914
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,84,14260,0,1,0,0,1,1,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,5,2000,2000,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,350,3,2,0,0,1,0,0,0,4,3,3,6,655,1,0,490,1145,0,1,0,0,0,0,5,1,4,1145,1053,0,2198,1,0,2,1,4,1,4,9,7,1,3,0,1,0,0,0,0,0,2000,2,3,836,3,3,2,192,84,0,0,0,0,0,0,0,0,0,0,1,0,12,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12.4292161968444
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,85,14115,0,1,0,0,1,1,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,5,1993,1995,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2,0,0,0,0,0,1,4,3,1,6,732,1,0,64,796,0,1,0,0,0,0,5,1,4,796,566,0,1362,1,0,1,1,1,1,3,5,7,0,0,0,1,0,0,0,0,0,1993,1,2,480,3,3,2,40,30,0,320,0,0,0,3,0,0,1,0,0,700,10,2009,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11.870599909242
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,75,10084,0,1,0,0,1,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8,5,2004,2005,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,186,3,2,0,0,1,0,0,0,5,3,3,6,1369,1,0,317,1686,0,1,0,0,0,0,5,1,4,1694,0,0,1694,1,0,2,0,3,1,4,7,7,1,4,0,1,0,0,0,0,0,2004,2,2,636,3,3,2,255,57,0,0,0,0,0,0,0,0,0,0,1,0,8,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12.6346030265693
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10382,0,1,0,0,1,1,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,6,1973,1973,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,240,2,2,0,1,0,0,0,0,4,3,2,5,859,4,32,216,1107,0,1,0,0,0,0,5,1,4,1107,983,0,2090,1,0,2,1,3,1,3,7,7,2,3,0,1,0,0,0,0,0,1973,2,2,484,3,3,2,235,204,228,0,0,0,0,0,0,0,1,0,0,350,11,2009,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12.2060726455302
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51,6120,0,1,0,0,1,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7,5,1931,1950,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,1,0,0,0,0,0,3,3,1,1,0,1,0,952,952,0,1,0,0,0,0,4,1,2,1022,752,0,1774,0,0,2,0,2,2,3,8,6,2,3,0,0,0,0,0,1,0,1931,1,2,468,2,3,2,90,0,205,0,0,0,0,0,0,0,0,0,1,0,4,2008,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11.7745202026587
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,50,7420,0,1,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,6,1939,1950,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,0,0,3,3,1,6,851,1,0,140,991,0,1,0,0,0,0,5,1,4,1077,0,0,1077,1,0,1,0,2,2,3,5,7,2,3,0,1,0,0,0,0,0,1939,2,1,205,4,3,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11.6784399034478
